theta_deg    D(разы)        D(дБ)
 69.0090  1.346759e+00    1.2929
 69.1892  1.351332e+00    1.3076
 69.3694  1.355880e+00    1.3222
 69.5496  1.360403e+00    1.3367
 69.7297  1.364900e+00    1.3510
 69.9099  1.369371e+00    1.3652
 70.0901  1.373817e+00    1.3793
 70.2703  1.378235e+00    1.3932
 70.4505  1.382628e+00    1.4071
 70.6306  1.386993e+00    1.4207
 70.8108  1.391330e+00    1.4343
 70.9910  1.395640e+00    1.4477
 71.1712  1.399922e+00    1.4610
 71.3514  1.404176e+00    1.4742
 71.5315  1.408401e+00    1.4873
 71.7117  1.412596e+00    1.5002
 71.8919  1.416763e+00    1.5130
 72.0721  1.420900e+00    1.5256
 72.2523  1.425007e+00    1.5382
 72.4324  1.429083e+00    1.5506
 72.6126  1.433130e+00    1.5629
 72.7928  1.437145e+00    1.5750
 72.9730  1.441129e+00    1.5870
 73.1532  1.445082e+00    1.5989
 73.3333  1.449002e+00    1.6107
 73.5135  1.452891e+00    1.6223
 73.6937  1.456748e+00    1.6338
 73.8739  1.460571e+00    1.6452
 74.0541  1.464362e+00    1.6565
 74.2342  1.468119e+00    1.6676
 74.4144  1.471843e+00    1.6786
 74.5946  1.475533e+00    1.6895
 74.7748  1.479189e+00    1.7002
 74.9550  1.482811e+00    1.7109
 75.1351  1.486397e+00    1.7213
 75.3153  1.489949e+00    1.7317
 75.4955  1.493466e+00    1.7420
 75.6757  1.496947e+00    1.7521
 75.8559  1.500392e+00    1.7620
 76.0360  1.503801e+00    1.7719
 76.2162  1.507173e+00    1.7816
 76.3964  1.510509e+00    1.7912
 76.5766  1.513809e+00    1.8007
 76.7568  1.517071e+00    1.8101
 76.9369  1.520295e+00    1.8193
 77.1171  1.523482e+00    1.8284
 77.2973  1.526631e+00    1.8373
 77.4775  1.529742e+00    1.8462
 77.6577  1.532814e+00    1.8549
 77.8378  1.535848e+00    1.8635
 78.0180  1.538843e+00    1.8719
 78.1982  1.541798e+00    1.8803
 78.3784  1.544715e+00    1.8885
 78.5586  1.547591e+00    1.8966
 78.7387  1.550428e+00    1.9045
 78.9189  1.553224e+00    1.9123
 79.0991  1.555981e+00    1.9200
 79.2793  1.558696e+00    1.9276
 79.4595  1.561371e+00    1.9351
 79.6396  1.564005e+00    1.9424
 79.8198  1.566598e+00    1.9496
 80.0000  1.569149e+00    1.9566
 80.1802  1.571659e+00    1.9636
 80.3604  1.574127e+00    1.9704
 80.5405  1.576553e+00    1.9771
 80.7207  1.578936e+00    1.9836
 80.9009  1.581277e+00    1.9901
 81.0811  1.583576e+00    1.9964
 81.2613  1.585832e+00    2.0026
 81.4414  1.588044e+00    2.0086
 81.6216  1.590214e+00    2.0146
 81.8018  1.592340e+00    2.0204
 81.9820  1.594422e+00    2.0260
 82.1622  1.596461e+00    2.0316
 82.3423  1.598456e+00    2.0370
 82.5225  1.600407e+00    2.0423
 82.7027  1.602314e+00    2.0475
 82.8829  1.604176e+00    2.0525
